Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778863454,147,,Aggregated,131.900000,0.000000,85,130,180,220,430,790,1300,1500,2700,2900,2900,7581,0,85,201.63569526553118,66.75021900002776,2935.87555900001,13.0
1778863455,148,,Aggregated,130.500000,0.000000,86,130,180,230,450,830,1300,1500,2700,2900,2900,7646,0,86,205.95658079557833,66.75021900002776,2935.87555900001,13.0
1778863456,148,,Aggregated,127.300000,0.000000,86,140,180,230,490,930,1300,1500,2700,2900,2900,7703,0,86,213.0027734994147,66.75021900002776,2935.87555900001,13.0
1778863457,148,,Aggregated,120.600000,0.000000,87,140,190,240,520,1100,1400,1600,2700,2900,2900,7774,0,87,224.34846263519313,66.75021900002776,2935.87555900001,13.0
1778863458,148,,Aggregated,112.800000,0.000000,88,140,200,260,560,1100,1400,1600,2700,2900,2900,7873,0,88,234.33825991184938,66.75021900002776,2935.87555900001,13.0
1778863459,148,,Aggregated,106.500000,0.000000,89,140,210,270,560,1100,1400,1600,2700,2900,2900,7975,0,89,237.38433609253792,66.75021900002776,2935.87555900001,13.0
1778863460,149,,Aggregated,101.900000,0.000000,90,150,220,300,560,1100,1400,1600,2700,2900,2900,8087,0,90,240.07923711598747,66.75021900002776,2935.87555900001,13.0
1778863461,149,,Aggregated,99.200000,0.000000,92,150,220,300,560,1100,1400,1600,2700,2900,2900,8210,0,92,240.28471965566285,66.75021900002776,2935.87555900001,13.0
1778863462,149,,Aggregated,96.700000,0.000000,93,150,220,300,560,1100,1400,1600,2700,2900,2900,8325,0,93,239.98975445225133,66.75021900002776,2935.87555900001,13.0
1778863463,149,,Aggregated,96.000000,0.000000,95,160,230,300,570,1100,1400,1600,2700,2900,2900,8429,0,95,241.30240266947345,66.75021900002776,2935.87555900001,13.0
1778863464,149,,Aggregated,95.100000,0.000000,97,160,240,320,570,1100,1400,1600,2700,2900,2900,8519,0,97,244.07702466838737,66.75021900002776,2935.87555900001,13.0
1778863465,149,,Aggregated,93.300000,0.000000,98,170,250,340,600,1100,1400,1600,2700,2900,2900,8605,0,98,248.53079576850564,66.75021900002776,2935.87555900001,13.0
1778863466,149,,Aggregated,92.900000,0.000000,99,170,260,350,620,1100,1400,1600,2700,2900,2900,8689,0,99,252.74911889630462,66.75021900002776,2935.87555900001,13.0
1778863467,149,,Aggregated,94.700000,0.000000,100,170,270,370,660,1100,1400,1600,2700,2900,2900,8770,0,100.0,258.03118071459403,66.75021900002776,2935.87555900001,13.0
1778863468,149,,Aggregated,98.000000,0.000000,100,180,280,380,700,1100,1400,1600,2700,2900,2900,8860,0,100.0,263.3985457478541,66.75021900002776,2935.87555900001,13.0
1778863469,149,,Aggregated,99.100000,0.000000,100,180,290,400,720,1100,1400,1500,2700,2900,2900,8942,0,100.0,267.53569733102046,66.75021900002776,2935.87555900001,13.0
1778863470,149,,Aggregated,99.300000,0.000000,110,190,310,420,750,1100,1400,1500,2700,2900,2900,9037,0,110.0,272.8524714314466,66.75021900002776,2935.87555900001,13.0
1778863471,149,,Aggregated,96.900000,0.000000,110,190,330,430,750,1100,1400,1500,2700,2900,2900,9136,0,110.0,275.72956316965656,66.75021900002776,2935.87555900001,13.0
1778863472,149,,Aggregated,94.900000,0.000000,110,200,350,450,740,1100,1300,1500,2700,2900,2900,9221,0,110.0,278.60173490467224,66.75021900002776,2935.87555900001,13.0
1778863473,149,,Aggregated,92.900000,0.000000,110,210,360,470,750,1100,1300,1500,2700,2900,2900,9319,0,110.0,282.4993442843636,66.75021900002776,2935.87555900001,13.0
1778863474,149,,Aggregated,89.600000,0.000000,110,210,370,490,740,1100,1300,1500,2700,2900,2900,9415,0,110.0,285.33081857493187,66.75021900002776,2935.87555900001,13.0
1778863475,149,,Aggregated,88.700000,0.000000,110,220,390,500,740,1100,1300,1500,2700,2900,2900,9505,0,110.0,287.92932512982475,66.75021900002776,2935.87555900001,13.0
1778863476,149,,Aggregated,89.100000,0.000000,120,230,410,520,740,1000,1300,1500,2700,2900,2900,9597,0,120.0,291.5637095914331,66.75021900002776,2935.87555900001,13.0
1778863477,149,,Aggregated,89.900000,0.000000,120,240,420,530,740,1000,1300,1500,2700,2900,2900,9695,0,120.0,294.22098042939496,66.75021900002776,2935.87555900001,13.0
1778863478,149,,Aggregated,89.300000,0.000000,120,240,430,540,740,1000,1300,1500,2700,2900,2900,9774,0,120.0,296.50311076785187,66.75021900002776,2935.87555900001,13.0
1778863479,149,,Aggregated,92.800000,0.000000,120,250,450,550,760,1000,1300,1500,2700,2900,2900,9845,0,120.0,300.906622349313,66.75021900002776,2935.87555900001,13.0
1778863480,149,,Aggregated,91.500000,0.000000,130,260,460,560,780,1000,1300,1500,2700,2900,2900,9928,0,130.0,306.7374516280204,66.75021900002776,2935.87555900001,13.0
1778863481,149,,Aggregated,90.400000,0.000000,130,270,480,570,810,1000,1300,1500,2700,2900,2900,10013,0,130.0,311.38869791191325,66.75021900002776,2935.87555900001,13.0
1778863482,149,,Aggregated,90.000000,0.000000,130,280,490,580,810,1000,1300,1500,2700,2900,2900,10101,0,130.0,314.86951990377037,66.75021900002776,2935.87555900001,13.0
1778863483,148,,Aggregated,87.500000,0.000000,130,290,500,590,820,1000,1300,1500,2700,2900,2900,10174,0,130.0,318.1901614594049,66.75021900002776,2935.87555900001,13.0
1778863484,148,,Aggregated,88.200000,0.000000,130,300,510,600,830,1000,1300,1500,2700,2900,2900,10250,0,130.0,322.7716541389254,66.75021900002776,2935.87555900001,13.0
1778863485,148,,Aggregated,86.200000,0.000000,140,310,520,600,850,1100,1300,1500,2700,2900,2900,10310,0,140.0,327.316608247428,66.75021900002776,2935.87555900001,13.0
1778863486,148,,Aggregated,84.500000,0.000000,140,330,530,620,870,1100,1300,1500,2700,2900,2900,10394,0,140.0,333.9834593030577,66.75021900002776,2935.87555900001,13.0
1778863487,147,,Aggregated,80.900000,0.000000,140,340,540,620,870,1100,1300,1500,2700,2900,2900,10484,0,140.0,338.0169368922149,66.75021900002776,2935.87555900001,13.0
1778863488,147,,Aggregated,79.900000,0.000000,140,360,550,630,870,1100,1300,1500,2700,2900,2900,10564,0,140.0,340.41422557042614,66.75021900002776,2935.87555900001,13.0
1778863489,147,,Aggregated,78.300000,0.000000,140,360,560,630,880,1100,1300,1500,2700,2900,2900,10618,0,140.0,343.6198330481241,66.75021900002776,2935.87555900001,13.0
1778863490,147,,Aggregated,78.500000,0.000000,140,370,570,640,900,1100,1300,1500,2700,2900,2900,10686,0,140.0,349.2103690979772,66.75021900002776,2935.87555900001,13.0
